Commerce: CC,Commerce: CC type,Commerce: Currency,Commerce: Currency code,Commerce: money,Commerce: money big
6763986383915620,maestro,Yuan Renminbi,CNY,$6.77,$7477315.24
5010128692492669,mastercard,Euro,EUR,$5.91,$7947443.52
67590605761794354,maestro,Yuan Renminbi,CNY,$5.57,$7433283.57
5100141365491638,mastercard,Euro,EUR,$1.89,$3547097.94
5588980781936663,mastercard,Sol,PEN,$0.04,$8050453.36
6759726653138743,switch,Ruble,RUB,$8.39,$4026779.30
3565251653589705,jcb,Euro,EUR,$6.82,$1205385.38
5563247926371134,mastercard,Franc,XOF,$8.11,$9628364.84
30111295807100,diners-club-carte-blanche,Rupiah,IDR,$5.88,$3111328.14
6759321807169511,switch,Euro,EUR,$7.81,$575089.01
3537917998193602,jcb,Taka,BDT,$4.16,$9018388.34
6763235402237123,maestro,Naira,NGN,$7.37,$1468275.45
201856557166909,diners-club-enroute,Krona,SEK,$2.30,$1841879.19
3546535580772424,jcb,Krone,DKK,$1.91,$1440824.00
3585211593385503,jcb,Euro,EUR,$2.52,$2097279.61
3542701736568132,jcb,Rupiah,IDR,$2.76,$7523503.87
6304372862095675255,laser,Euro,EUR,$9.99,$96228.12
633110919507232359,switch,Kuna,HRK,$1.18,$9863980.56
3550548596024311,jcb,Rupiah,IDR,$0.90,$4384143.86
3550598640367810,jcb,Euro,EUR,$0.45,$5915174.37
3535493730166548,jcb,Peso,PHP,$0.56,$4448803.12
3531416262885163,jcb,Euro,EUR,$5.10,$7174244.27
4844765594992489,visa-electron,Dollar,USD,$2.88,$1940209.01
30103619554807,diners-club-carte-blanche,Yuan Renminbi,CNY,$9.49,$8484203.14
4407884573134598,visa,Rial,IRR,$8.25,$1663431.44
3547415961303421,jcb,Euro,EUR,$9.88,$1338310.18
3553643981564414,jcb,Krona,SEK,$9.56,$2889466.48
6394177534040594,instapayment,Yuan Renminbi,CNY,$8.59,$2435844.16
6377583732954943,instapayment,Yuan Renminbi,CNY,$9.97,$9393429.43
5048377473661069,mastercard,Rupiah,IDR,$3.33,$2046598.00
3577756703968895,jcb,Manat,AZN,$9.43,$7737450.51
4905059523207243,switch,Franc,XAF,$2.64,$8531587.84
3542943675141956,jcb,Euro,EUR,$0.58,$2440647.38
4936653490082044,switch,Rupee,PKR,$2.80,$4892117.09
67624093979547551,maestro,Yuan Renminbi,CNY,$6.01,$8834580.80
5048373234739161,mastercard,Ruble,RUB,$7.60,$2337442.34
3555805783251015,jcb,Krone,DKK,$4.43,$8267397.89
3589218403620215,jcb,Real,BRL,$2.34,$35555.14
3554990976109328,jcb,Euro,EUR,$6.37,$379113.60
3562344907756866,jcb,Yuan Renminbi,CNY,$1.25,$7239111.97
5467074914842752,diners-club-us-ca,Yuan Renminbi,CNY,$1.71,$7925104.40
4913122890201353,visa-electron,Ruble,RUB,$8.72,$7523547.81
3558293497696428,jcb,Ruble,RUB,$5.04,$4196511.06
3559931564147515,jcb,Yuan Renminbi,CNY,$3.00,$2263808.40
67060690521253512,laser,Krona,SEK,$2.30,$2671195.95
5602214444056236,bankcard,Yuan Renminbi,CNY,$1.11,$8110353.16
3529335287661967,jcb,Dinar,RSD,$9.59,$2992467.43
372301865539136,americanexpress,Koruna,CZK,$6.68,$4868133.85
3567053421492594,jcb,Sol,PEN,$5.41,$777743.39
3532337948405805,jcb,Krona,SEK,$3.32,$6868772.85
4917669197336338,visa-electron,Marka,BAM,$4.33,$9220710.20
345275453759351,americanexpress,Yuan Renminbi,CNY,$5.64,$1323454.95
5582105460845714,mastercard,Dollar,AUD,$7.80,$1431904.92
30078216075739,diners-club-carte-blanche,Balboa,PAB,$9.14,$9844626.40
3575472652033473,jcb,Ruble,RUB,$6.19,$6418388.35
6767751771594262,solo,Euro,EUR,$6.38,$1086903.90
3553381869348713,jcb,Euro,EUR,$4.45,$3035384.70
3547603136563801,jcb,Euro,EUR,$3.23,$364125.36
3556436914825318,jcb,Euro,EUR,$8.07,$6121944.12
3574740896395721,jcb,Yuan Renminbi,CNY,$0.14,$178167.99
3546207811333364,jcb,Yuan Renminbi,CNY,$1.42,$7501531.76
30130659228380,diners-club-carte-blanche,Yen,JPY,$7.20,$8025030.79
589381351783203837,maestro,Rupiah,IDR,$7.90,$2343877.15
4911569404433140,switch,Rupiah,IDR,$5.01,$1357129.66
3539986254395316,jcb,Euro,EUR,$2.09,$7259056.83
5100148091906987,mastercard,Dollar,CAD,$0.01,$5021555.21
6709524273780755500,laser,Yuan Renminbi,CNY,$7.22,$2685398.72
6398294660511516,instapayment,Peso,PHP,$5.86,$2463558.98
4405796100437280,visa-electron,Dinar,TND,$4.98,$2226555.39
3561673709758022,jcb,Yuan Renminbi,CNY,$3.71,$7961733.30
3554715012256472,jcb,Zloty,PLN,$2.50,$2476639.21
6759025204956749,switch,Rupiah,IDR,$6.57,$7715649.38
3548736145966208,jcb,Yuan Renminbi,CNY,$1.31,$6990033.39
5100141137133021,mastercard,Ruble,BYR,$6.41,$7216886.02
4508200191216915,visa-electron,Zloty,PLN,$8.62,$6916399.13
201654527983366,diners-club-enroute,Peso,UYU,$1.87,$522142.68
6334520797883213,solo,Rupiah,IDR,$2.62,$6272160.51
3551822505822415,jcb,Ruble,RUB,$9.70,$2074903.48
4936750972501983731,switch,Real,BRL,$3.79,$8381710.85
5602243615604243,bankcard,Rial,IRR,$2.49,$4041786.19
677100929823182211,laser,Euro,EUR,$5.48,$4613986.16
3564795661691342,jcb,Yuan Renminbi,CNY,$9.66,$1743992.62
3565498243271423,jcb,Rupiah,IDR,$2.69,$4051977.77
3561895110609243,jcb,Manat,AZN,$8.96,$8515268.90
3549147742978928,jcb,Sol,PEN,$1.72,$2188168.70
3580721875997614,jcb,Yen,JPY,$2.11,$3716974.35
67617003812206660,maestro,Rupiah,IDR,$2.45,$8039938.42
560222483180304753,china-unionpay,Rial,YER,$4.77,$204568.44
3533645105237897,jcb,Yuan Renminbi,CNY,$7.66,$5547148.80
3587459253876984,jcb,Yen,JPY,$2.02,$7794890.29
3551700552036503,jcb,Peso,PHP,$6.78,$9642930.48
3536235157339978,jcb,Ruble,RUB,$0.68,$538711.50
3577845057953288,jcb,Euro,EUR,$6.90,$7676295.49
5100172419642868,mastercard,Denar,MKD,$1.91,$1537761.76
6759781241884415,switch,Peso,PHP,$8.18,$817792.19
3578877623260087,jcb,Rupiah,IDR,$3.45,$1563243.32
372301530189465,americanexpress,Yuan Renminbi,CNY,$0.18,$91868.35
3564429624948918,jcb,Ruble,BYR,$4.01,$8243970.43
3566915171273435,jcb,Ruble,RUB,$4.27,$5941389.95
5020013907982052981,maestro,Euro,EUR,$8.48,$4095689.72
56022166017363891,china-unionpay,Peso,COP,$2.38,$4401719.63
5148439579365349,mastercard,Dollar,CAD,$6.48,$2776968.45
30489362274374,diners-club-carte-blanche,Yuan Renminbi,CNY,$7.38,$3474034.52
4017950916441636,visa,Peso,COP,$1.56,$6273150.77
589322750776225016,maestro,Koruna,CZK,$1.88,$1229277.14
5100148947681552,mastercard,Zloty,PLN,$9.88,$6545977.58
3562609346406491,jcb,Euro,EUR,$9.97,$4024668.38
5048378882931705,mastercard,Yuan Renminbi,CNY,$8.36,$1137786.08
3578159690214267,jcb,Peso,ARS,$1.44,$5655550.82
56022445548531709,china-unionpay,Yen,JPY,$1.59,$6412971.89
4844332147235757,visa-electron,Rupiah,IDR,$5.77,$5917768.18
3555383215446603,jcb,Dollar,USD,$5.66,$6817883.22
6762278639551531345,maestro,Yen,JPY,$2.81,$1997360.83
3579238441180719,jcb,Tugrik,MNT,$5.05,$5332422.91
5540435144902206,diners-club-us-ca,Baht,THB,$0.13,$1946015.06
6395682641875849,instapayment,Quetzal,GTQ,$2.78,$2459287.44
3538696196920458,jcb,Euro,EUR,$6.35,$3803653.87
3540791768980729,jcb,Gourde,HTG,$0.49,$4616102.64
630401230300884154,laser,Real,BRL,$8.80,$7834121.13
3557498830185275,jcb,Yuan Renminbi,CNY,$1.85,$8828603.31
3561150049317215,jcb,Euro,EUR,$5.92,$8442458.23
4844204362022931,visa-electron,Euro,EUR,$8.57,$7918224.50
4917060188124471,visa-electron,Zloty,PLN,$0.10,$9039481.06
5893795575192586421,maestro,Euro,EUR,$5.51,$7435013.50
5610644561931490,china-unionpay,Dirham,MAD,$2.70,$2792518.09
4844701391648800,visa-electron,Zloty,PLN,$6.78,$7452262.69
3532635010192247,jcb,Rial,YER,$5.73,$401517.04
3529948135520209,jcb,Peso,COP,$6.05,$7138828.87
3543723954009366,jcb,Hryvnia,UAH,$5.10,$7751223.84
3589782364012894,jcb,Euro,EUR,$5.77,$7511868.67
6759236663535656,maestro,Peso,COP,$7.19,$3413435.08
3580885653147377,jcb,Rupiah,IDR,$8.95,$9565102.43
3539162858045075,jcb,Yuan Renminbi,CNY,$8.52,$9616826.29
201987279192764,diners-club-enroute,Krone,NOK,$7.07,$7217868.50
3566878271093626,jcb,Yuan Renminbi,CNY,$6.98,$5708792.48
5602244566174970,china-unionpay,Yuan Renminbi,CNY,$6.49,$2635687.15
3554095306596895,jcb,Yuan Renminbi,CNY,$3.06,$9797358.63
5436469415914365,diners-club-us-ca,Koruna,CZK,$7.59,$4662327.05
6372259031562852,instapayment,Sol,PEN,$8.44,$2159453.98
3558494111788688,jcb,Shilling,KES,$7.67,$9755452.82
30505604714156,diners-club-carte-blanche,Real,BRL,$7.90,$8885194.32
3569958284833742,jcb,Ruble,RUB,$5.85,$9269684.29
676753356017576069,solo,Shilling,UGX,$6.27,$8846696.29
4017954913771482,visa,Ruble,RUB,$6.93,$8436662.56
490509841777645108,switch,Euro,EUR,$5.17,$8181456.49
6767339809923313,solo,Rupiah,IDR,$3.65,$5245624.24
3544029968254934,jcb,Ruble,RUB,$1.88,$7340484.84
30046248179084,diners-club-carte-blanche,Yuan Renminbi,CNY,$3.32,$4375299.73
4041593798119,visa,Yuan Renminbi,CNY,$2.76,$2034467.26
3568897193227185,jcb,Euro,EUR,$9.26,$6810775.46
3537092389380489,jcb,Peso,PHP,$8.00,$9895526.85
0604383287203632,maestro,Som,KGS,$4.22,$1767243.63
5327560542541055,mastercard,Yuan Renminbi,CNY,$4.63,$9002601.35
3584118085763942,jcb,Naira,NGN,$7.05,$4229708.19
3564461037356306,jcb,Baht,THB,$5.78,$4792122.56
3554410554930532,jcb,Colon,CRC,$8.21,$1793483.25
4905299140719969453,switch,Rupiah,IDR,$8.03,$3463394.12
3557316481080746,jcb,Rupiah,IDR,$9.34,$1744577.68
201626603639542,diners-club-enroute,Peso,PHP,$6.17,$9582684.61
3561916237877446,jcb,Yuan Renminbi,CNY,$9.51,$7183110.52
5602225509404798,bankcard,Rupiah,IDR,$8.09,$7080465.57
3547759511558566,jcb,Franc,CDF,$2.04,$7759530.43
3541803552976463,jcb,Peso,PHP,$1.86,$6059866.43
5610184392154798,bankcard,Shilling,UGX,$1.92,$3818433.26
3576959034336466,jcb,Koruna,CZK,$5.40,$8481276.91
4175000672515278,visa-electron,Peso,ARS,$5.88,$4487178.40
36929106492232,diners-club-international,Peso,COP,$0.47,$3503404.23
3556114566279668,jcb,Rupiah,IDR,$2.48,$8904836.95
3542197189668604,jcb,Bolivar,VEF,$8.26,$9694936.19
3546849282049761,jcb,Afghani,AFN,$7.10,$9090534.22
3548058850710469,jcb,Euro,EUR,$2.01,$5703447.98
30447180625482,diners-club-carte-blanche,Yuan Renminbi,CNY,$7.83,$5513929.59
6388247994568380,instapayment,Yuan Renminbi,CNY,$8.03,$6604986.30
201826844924824,diners-club-enroute,Tenge,KZT,$7.98,$8906749.60
5100146695683119,mastercard,Yuan Renminbi,CNY,$2.08,$8025231.84
5100146285658059,mastercard,Yuan Renminbi,CNY,$3.06,$2795083.87
337941083615236,americanexpress,Ruble,RUB,$3.33,$6829351.24
6763324402973166,maestro,Baht,THB,$0.55,$4900414.34
4913087283589658,visa-electron,Euro,EUR,$8.18,$1295415.93
3578084372435735,jcb,Yen,JPY,$2.40,$7744458.44
3547759945895618,jcb,Hryvnia,UAH,$9.21,$5615253.70
3545575797247415,jcb,Yuan Renminbi,CNY,$4.12,$4403623.06
30278669276905,diners-club-carte-blanche,Krone,NOK,$9.69,$2640125.84
5020676487703848759,maestro,Zloty,PLN,$2.55,$257582.01
6304393328909634,laser,Yuan Renminbi,CNY,$7.04,$4865281.91
3536334486033913,jcb,Ruble,RUB,$1.39,$4204071.65
3558755690118624,jcb,Rupiah,IDR,$9.05,$8931883.79
5542314281182997,mastercard,Koruna,CZK,$0.37,$6136248.16
5602231244166715675,china-unionpay,Rial,YER,$9.68,$4197789.73
5596247138858598,diners-club-us-ca,Peso,PHP,$7.57,$4132535.87
3575452370236491,jcb,Yuan Renminbi,CNY,$6.38,$9151281.25
502029633981070014,maestro,Yuan Renminbi,CNY,$7.64,$3845911.14
6331106826940836426,switch,Ruble,RUB,$8.49,$336460.38
5007665322458359,mastercard,Denar,MKD,$8.98,$8756376.11
5002354491069421,mastercard,Zloty,PLN,$1.69,$8264605.88
6379182329235747,instapayment,Franc,XOF,$0.28,$3863748.51
6381457715332134,instapayment,Rupiah,IDR,$4.87,$2509252.02
201891516471645,diners-club-enroute,Peso,PHP,$4.04,$9735920.91
3536409153145792,jcb,Rupiah,IDR,$9.70,$4217235.84
3528219957096590,jcb,Ringgit,MYR,$0.45,$8338590.34
5893956585465059,maestro,Peso,PHP,$9.97,$5384454.89
3584672499724692,jcb,Yuan Renminbi,CNY,$4.29,$6620845.17
5602216472885766,bankcard,Euro,EUR,$6.24,$3033159.19
060496990467981202,maestro,Rupiah,IDR,$5.02,$9773043.27
36458344550049,diners-club-international,Real,BRL,$1.61,$6159984.00
5515263575493037,diners-club-us-ca,Peso,UYU,$9.97,$1689152.94
3549037024901963,jcb,Dinar,TND,$6.73,$3106914.90
3589444927341779,jcb,Dollar,USD,$1.07,$9384182.81
4911492084723065846,switch,Tenge,KZT,$9.10,$6104924.02
3576060005292869,jcb,Euro,EUR,$4.01,$4826395.21
5572997301407999,mastercard,Yuan Renminbi,CNY,$8.84,$9910100.73
5572340048257551,mastercard,Yen,JPY,$6.95,$557317.34
3576559962183409,jcb,Euro,EUR,$3.17,$7659108.48
5100144280509609,mastercard,Rupiah,IDR,$0.87,$4741142.26
201476132429738,diners-club-enroute,Yuan Renminbi,CNY,$7.17,$5169271.70
5108755923258692,mastercard,Kuna,HRK,$1.41,$9268261.16
3545391315444918,jcb,Yuan Renminbi,CNY,$8.17,$7978531.37
3577875298896269,jcb,Peso,ARS,$4.95,$6472638.58
4807367523077,visa,Peso,ARS,$7.02,$1131594.48
3576999579738866,jcb,Euro,EUR,$7.51,$6939016.91
5100134608742099,mastercard,Euro,EUR,$5.31,$8458438.67
3551737967745328,jcb,Dram,AMD,$0.51,$6874101.46
5602221538479547,bankcard,Dong,VND,$1.25,$5784513.22
5007668138950940,mastercard,Peso,DOP,$1.58,$1712036.17
3553422443582698,jcb,Peso,PHP,$3.73,$1028362.72
4017956814255,visa,Rupiah,IDR,$9.79,$3311674.23
30373657875766,diners-club-carte-blanche,Krone,NOK,$1.68,$3386207.25
633450616156061711,solo,Dollar,USD,$1.92,$5646924.24
3577896855961973,jcb,Ruble,RUB,$6.50,$5866932.20
3560193129965652,jcb,Yuan Renminbi,CNY,$4.75,$6920372.50
201551207415794,diners-club-enroute,Real,BRL,$9.84,$644863.19
4508474614513352,visa-electron,Kwacha,ZMW,$1.93,$605919.45
3530895293623472,jcb,Dollar,CAD,$1.44,$2742010.11
372301659209359,americanexpress,Euro,EUR,$1.81,$8317048.01
4017958355234453,visa,Cordoba,NIO,$0.98,$8540630.67
6396348505003493,instapayment,Yuan Renminbi,CNY,$6.89,$698128.42
3585352676020201,jcb,Sol,PEN,$7.28,$4796975.27
5048377537320611,mastercard,Real,BRL,$4.87,$887124.54
3571118640946185,jcb,Peso,PHP,$5.45,$7512962.47
5602248463569687,bankcard,Peso,PHP,$1.59,$5433689.76
3572460008946913,jcb,Euro,EUR,$0.26,$1947986.97
3534764475067385,jcb,Ruble,RUB,$3.67,$7424247.00
201967919470804,diners-club-enroute,Euro,EUR,$0.81,$9050710.19
4026003284597156,visa-electron,Naira,NGN,$1.43,$8458111.08
4175008377259233,visa-electron,Lek,ALL,$6.43,$77838.49
560224854706036392,china-unionpay,Yen,JPY,$6.51,$3284196.30
4022247814267608,visa,Euro,EUR,$1.72,$2464357.78
4913434988774641,visa-electron,Euro,EUR,$5.82,$5303489.36
6761857466702128982,maestro,Yuan Renminbi,CNY,$8.11,$9541981.93
5610414771141011,bankcard,Yuan Renminbi,CNY,$6.25,$5893517.02
5002352576245023,mastercard,Yuan Renminbi,CNY,$9.94,$5273284.79
6333251514536539906,switch,Zloty,PLN,$3.56,$9277334.44
63046538082296446,laser,Dollar,KYD,$2.96,$2612317.78
3585338653645508,jcb,Dollar,USD,$1.54,$7577924.12
3538937974381863,jcb,Euro,EUR,$1.41,$2816826.14
3567977049627746,jcb,Euro,EUR,$4.41,$1116254.00
5602246449029461,china-unionpay,Euro,EUR,$6.30,$2266412.67
3563149077402939,jcb,Rupiah,IDR,$7.32,$3906084.59
5602231591571957,bankcard,Rial,OMR,$3.54,$9678358.82
6767844172055996008,solo,Rupiah,IDR,$2.13,$9007487.39
372301293472934,americanexpress,Peso,PHP,$5.46,$2790509.97
3583223747215793,jcb,Zloty,PLN,$9.47,$3602161.23
3528556678805480,jcb,Dinar,RSD,$5.96,$8662003.97
5428324316444204,diners-club-us-ca,Euro,EUR,$3.01,$1870016.32
3576243644037883,jcb,Yuan Renminbi,CNY,$0.31,$613266.99
4917896434351255,visa-electron,Euro,EUR,$3.26,$1686218.39
36790027516867,diners-club-international,Zloty,PLN,$6.54,$2999877.44
4026001393161658,visa-electron,Colon,CRC,$5.52,$8963036.06
3550846318696188,jcb,Marka,BAM,$7.61,$4350136.12
5602255542260980,china-unionpay,Ruble,RUB,$7.56,$8326922.44
3582947939952125,jcb,Euro,EUR,$4.17,$967120.29
3532118294020673,jcb,Peso,PHP,$1.32,$9183908.05
3566084272010459,jcb,Rupiah,IDR,$8.84,$8239270.03
372301251535474,americanexpress,Afghani,AFN,$4.84,$5660868.59
4911402576067100,switch,Yuan Renminbi,CNY,$6.55,$1305200.49
0604455574703783681,maestro,Real,BRL,$6.74,$4682568.11
3562832622276012,jcb,Yuan Renminbi,CNY,$8.09,$6320763.16
3580751378013734,jcb,Ruble,RUB,$7.26,$5244125.54
6761008761114765621,maestro,Peso,PHP,$6.99,$9915759.06
5161354102333387,mastercard,Yuan Renminbi,CNY,$9.75,$7769913.23
675985907831950187,maestro,Hryvnia,UAH,$6.27,$4558696.62
3551595279836585,jcb,Rupiah,IDR,$9.92,$5332010.05
4026397630383984,visa-electron,Won,KPW,$8.85,$9114497.00
374622156001496,americanexpress,Ruble,RUB,$1.62,$1666963.41
201688777360735,diners-club-enroute,Peso,PHP,$8.87,$9856281.37
3552772874336043,jcb,Euro,EUR,$7.00,$8459023.85
4175005513059683,visa-electron,Peso,PHP,$4.73,$2692887.55
4815135932306,visa,Krona,SEK,$7.37,$3536733.67
375734445050132,americanexpress,Rupiah,IDR,$3.76,$2445660.18
3559298416448933,jcb,Yuan Renminbi,CNY,$5.22,$4871474.28
372301537020606,americanexpress,Euro,EUR,$8.55,$9211447.10
3570215725097222,jcb,Franc,XOF,$7.40,$9832169.52
6380094550969489,instapayment,Yuan Renminbi,CNY,$6.97,$1961181.43
3575013766104485,jcb,Ruble,RUB,$9.64,$8879952.07
337941151103693,americanexpress,Real,BRL,$2.91,$7304654.06
3568553411907922,jcb,Yuan Renminbi,CNY,$8.27,$5633864.37
6395211437235982,instapayment,Yuan Renminbi,CNY,$5.76,$2263305.56
36545095323608,diners-club-international,Quetzal,GTQ,$0.07,$6577446.26
6383633325222646,instapayment,Franc,KMF,$6.03,$1838432.83
6334505274483622484,solo,Colon,CRC,$8.21,$1652375.71
3543075519214241,jcb,Euro,EUR,$3.03,$360118.00
3555296082127439,jcb,Yuan Renminbi,CNY,$4.56,$3974618.04
3555794005734430,jcb,Kuna,HRK,$6.11,$3128508.89
676278558470610816,maestro,Yuan Renminbi,CNY,$3.59,$6060107.82
5641826037816561377,switch,Dollar,USD,$5.07,$6399635.65
6767991671749174,solo,Real,BRL,$8.31,$4474881.43
3571962738205529,jcb,Rupiah,IDR,$5.52,$154344.87
3583571652734673,jcb,Yuan Renminbi,CNY,$9.68,$205701.72
675985859277829997,switch,Koruna,CZK,$0.62,$7117112.37
3529747124842461,jcb,Ruble,RUB,$1.87,$2760720.94
6333500449975873,switch,Rupiah,IDR,$4.39,$8663737.91
3557006787487170,jcb,Euro,EUR,$0.02,$2917459.78
3555261407605774,jcb,Peso,COP,$7.21,$9482904.98
201640374250140,diners-club-enroute,Tenge,KZT,$2.95,$2965608.51
3571349895389363,jcb,Rand,ZAR,$4.67,$2378529.05
5602221204087186,china-unionpay,Yen,JPY,$6.20,$3132991.27
3564303498843333,jcb,Denar,MKD,$9.54,$6181732.92
3533336984221968,jcb,Ruble,RUB,$5.78,$4086648.92
3583393830011746,jcb,Dollar,CAD,$2.52,$4283171.41
5602225689817124,bankcard,Krona,SEK,$0.42,$4415185.81
201656756044570,diners-club-enroute,Kyat,MMK,$6.14,$8984846.95
4911773349468043,switch,Krona,SEK,$7.49,$6882890.50
5048371064792961,mastercard,Yuan Renminbi,CNY,$4.54,$8549494.24
5100136668481351,mastercard,Peso,CUP,$9.77,$2099815.88
3537678375262986,jcb,Peso,PHP,$8.00,$7460935.14
5147071104378710,mastercard,Sol,PEN,$7.39,$8440306.74
560221660884244770,china-unionpay,Krona,SEK,$2.12,$5774605.31
30020558922169,diners-club-carte-blanche,Peso,ARS,$7.85,$5203523.94
3562036352834673,jcb,Yuan Renminbi,CNY,$3.56,$2243923.87
3558518832746482,jcb,Yuan Renminbi,CNY,$6.91,$9961587.36
5602245950999294,bankcard,Koruna,CZK,$2.32,$2092259.35
3549399333795944,jcb,Shilling,TZS,$7.45,$3268313.79
4913026745101884,visa-electron,Yuan Renminbi,CNY,$1.46,$1653435.01
3558928871185684,jcb,Zloty,PLN,$1.02,$3167050.66
5108758056210027,mastercard,Ruble,RUB,$8.59,$9486521.81
3558737580402326,jcb,Lempira,HNL,$3.74,$2504802.00
4529728625629,visa,Rupiah,IDR,$8.69,$3805643.08
67612174371589088,maestro,Naira,NGN,$7.21,$8901305.20
36094594151665,diners-club-international,Ruble,RUB,$8.87,$6654977.68
3575327907728485,jcb,Euro,EUR,$8.77,$9006305.97
3582175751377714,jcb,Euro,EUR,$5.52,$9204520.58
630460846288151890,maestro,Yuan Renminbi,CNY,$3.42,$6309120.49
201881750495194,diners-club-enroute,Rupiah,IDR,$3.56,$4801515.03
3546708066640874,jcb,Denar,MKD,$4.00,$8010034.84
3533489201456147,jcb,Dong,VND,$8.53,$106922.77
3572173147206137,jcb,Peso,COP,$3.91,$7523898.49
67632828982139320,maestro,Yuan Renminbi,CNY,$6.73,$2981504.67
5602249635431095,bankcard,Euro,EUR,$6.32,$1434236.61
3577954527285246,jcb,Dollar,USD,$5.29,$4942143.46
3546769709000470,jcb,Yuan Renminbi,CNY,$6.06,$2549846.15
5641822689311117,switch,Boliviano,BOB,$1.25,$2987813.09
6761028079952997024,maestro,Yen,JPY,$7.07,$9669350.81
3535168743518386,jcb,Baht,THB,$3.80,$2004434.93
6771809146472277,laser,Naira,NGN,$3.37,$8783908.84
060465932857237883,maestro,Euro,EUR,$6.45,$9017367.48
3589919470323969,jcb,Real,BRL,$2.20,$5037816.61
5602226642897971,china-unionpay,Real,BRL,$1.79,$3044233.08
633386267457878095,switch,Yen,JPY,$5.49,$6546102.36
3529367976195866,jcb,Koruna,CZK,$7.00,$9843847.38
3566430642659618,jcb,Baht,THB,$4.37,$6376704.29
3540010988719415,jcb,Yuan Renminbi,CNY,$6.45,$4563352.50
5100170595903526,mastercard,Dollar,USD,$4.58,$1315360.30
3533794239107764,jcb,Zloty,PLN,$6.17,$7918100.33
4405715018314852,visa-electron,Real,BRL,$6.31,$191140.83
3555726259475278,jcb,Rupiah,IDR,$7.13,$4582331.63
201743531200360,diners-club-enroute,Peso,COP,$9.28,$6969358.15
4913220036342808,visa-electron,Rupiah,IDR,$8.84,$7252932.01
4911225311504274832,switch,Real,BRL,$3.93,$2452795.57
30209830353729,diners-club-carte-blanche,Euro,EUR,$4.24,$7657682.47
3555865823947584,jcb,Yuan Renminbi,CNY,$0.97,$532957.28
36312864680431,diners-club-international,Ruble,RUB,$0.80,$1381265.13
3587329779199825,jcb,Yuan Renminbi,CNY,$4.01,$8740411.40
4911381506111836283,switch,Krona,SEK,$7.40,$1416499.23
6387077000562528,instapayment,Real,BRL,$4.35,$3709097.66
5602229298488020,bankcard,Yuan Renminbi,CNY,$6.83,$2993665.61
6767800643958906,solo,Yuan Renminbi,CNY,$5.60,$7499588.82
3587041614488186,jcb,Ruble,RUB,$9.93,$7808323.26
5602223688108652,bankcard,Ruble,RUB,$1.89,$5329085.19
4175002461282250,visa-electron,Yuan Renminbi,CNY,$2.27,$3294816.09
3531163503080515,jcb,Yen,JPY,$0.68,$6776473.98
3587673513754589,jcb,Real,BRL,$1.56,$8605047.88
3584365364760236,jcb,Dollar,USD,$2.88,$2054862.69
3568391046563061,jcb,Yuan Renminbi,CNY,$1.58,$7102920.76
560224793571413296,china-unionpay,Zloty,PLN,$1.47,$1353621.86
